證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比
030577,日月光富邦0B購01,"10,000",1,"7,500",0.75,0.75,0.75,0.75,+,0.04,0.74,10,0.76,5,118.00
030578,中鴻元富0A購01,0,0,0,--,--,--,--, ,0.00,--,0,--,0,50.80
030579,致茂元富11購01,"130,000",4,"127,970",0.99,0.99,0.95,0.95,-,0.03,0.92,50,0.93,50,198.00
030580,聯發科元富0A購10,0,0,0,--,--,--,--, ,0.00,0.45,25,0.55,25,978.00
030581,聯發科元富11購09,"513,000",10,"261,750",0.51,0.52,0.51,0.52,-,0.02,0.52,25,0.53,25,978.00
030582,捷敏元富0A購01,0,0,0,--,--,--,--, ,0.00,0.87,25,0.88,10,80.40
030583,安普新元富0B購01,0,0,0,--,--,--,--, ,0.00,0.14,25,0.15,25,114.00
030584,巨大元富0A購01,"100,000",2,"60,000",0.57,0.63,0.57,0.63,-,0.01,0.61,25,0.62,25,317.50
030585,聚鼎康和0A購01,"60,000",3,"27,050",0.40,0.47,0.39,0.47,X,0.00,0.51,10,0.53,10,124.00
030586,T50正2元大11購01,"20,000",1,"18,400",0.92,0.92,0.92,0.92,-,0.07,0.99,499,1.00,499,127.20
030587,T50正2元大11購02,"1,000",1,870,0.87,0.87,0.87,0.87,X,0.00,0.92,499,0.93,499,127.20
030588,T50反1元大11購03,"234,000",11,"125,200",0.54,0.54,0.50,0.50,-,0.01,0.49,50,0.50,499,5.64
030589,T50反1元大11購04,"11,000",2,"5,190",0.49,0.49,0.47,0.47,+,0.04,0.41,499,0.45,499,5.64
030590,A50正2元大0A購03,"58,000",7,"86,690",1.37,1.55,1.37,1.51,+,0.01,1.42,100,1.52,10,50.55
030591,臺指反元大11購03,"57,000",3,"28,500",0.50,0.50,0.50,0.50,+,0.03,0.46,499,0.47,499,6.41
